iter	Passed	Remaining
408	5015	4795
409	5028	4783
410	5038	4769
411	5050	4756
412	5062	4744
413	5075	4732
414	5087	4719
415	5098	4706
416	5111	4694
417	5121	4680
418	5134	4669
419	5147	4657
420	5159	4644
421	5169	4630
422	5183	4619
423	5196	4608
424	5207	4595
425	5220	4582
426	5230	4569
427	5242	4556
428	5253	4543
429	5265	4531
430	5280	4520
431	5292	4508
432	5302	4494
433	5314	4481
434	5327	4469
435	5340	4458
436	5353	4447
437	5366	4435
438	5380	4424
439	5391	4411
440	5406	4401
441	5419	4389
442	5431	4377
443	5443	4364
444	5457	4353
445	5469	4340
446	5481	4329
447	5494	4317
448	5505	4303
449	5517	4291
450	5528	4278
451	5539	4265
452	5551	4252
453	5562	4239
454	5575	4227
455	5587	4215
456	5598	4201
457	5609	4188
458	5620	4175
459	5631	4162
460	5642	4149
461	5652	4135
462	5664	4122
463	5676	4110
464	5689	4098
465	5699	4085
466	5710	4072
467	5722	4059
468	5732	4045
469	5744	4033
470	5757	4021
471	5768	4008
472	5781	3997
473	5793	3984
474	5805	3972
475	5816	3959
476	5828	3946
477	5840	3934
478	5851	3921
479	5863	3908
480	5875	3896
481	5887	3883
482	5898	3871
483	5910	3858
484	5922	3846
485	5933	3833
486	5944	3820
487	5956	3808
488	5968	3795
489	5979	3783
490	5992	3771
491	6003	3758
492	6014	3745
493	6027	3733
494	6039	3721
495	6052	3709
496	6063	3696
497	6075	3684
498	6086	3671
499	6097	3658
500	6110	3646
501	6121	3634
502	6133	3621
503	6145	3609
504	6156	3596
505	6168	3583
506	6179	3571
507	6191	3558
508	6202	3546
509	6213	3533
510	6226	3521
511	6238	3509
512	6252	3497
513	6264	3485
514	6276	3473
515	6287	3460
516	6300	3448
517	6310	3435
518	6323	3423
519	6333	3410
520	6345	3398
521	6357	3385
522	6369	3373
523	6382	3361
524	6392	3348
525	6405	3336
526	6417	3324
527	6430	3312
528	6446	3302
529	6458	3290
530	6473	3279
531	6485	3267
532	6497	3254
533	6510	3243
534	6521	3230
535	6534	3218
536	6546	3206
537	6558	3193
538	6569	3181
539	6579	3168
540	6591	3155
541	6602	3142
542	6613	3130
543	6625	3117
544	6637	3105
545	6647	3092
546	6660	3080
547	6672	3068
548	6684	3056
549	6695	3043
550	6707	3031
551	6718	3018
552	6729	3005
553	6741	2993
554	6753	2981
555	6766	2969
556	6777	2956
557	6789	2944
558	6801	2932
559	6814	2920
560	6825	2908
561	6837	2895
562	6849	2883
563	6861	2871
564	6872	2858
565	6884	2846
566	6894	2833
567	6906	2821
568	6919	2809
569	6930	2796
570	6944	2784
571	6958	2773
