iter	RMSE
0	102.0446486
1	99.09459221
2	96.20429991
3	93.3839041
4	90.67168698
5	88.23962889
6	85.89091375
7	83.97954693
8	81.93909261
9	80.11653935
10	78.2088085
11	76.48021369
12	74.73454203
13	73.13032352
14	71.73858261
15	70.40115107
16	69.23635897
17	67.96945521
18	66.78663677
19	65.72712457
20	64.67953885
21	63.70472241
22	62.81014194
23	61.9834872
24	61.08680731
25	60.27481396
26	59.6865426
27	58.94859871
28	58.33486427
29	57.73034303
30	57.0743506
31	56.45934492
32	55.8930525
33	55.33304178
34	54.84641413
35	54.37256259
36	53.89708788
37	53.47657614
38	53.03941672
39	52.62353407
40	52.21554855
41	51.81608204
42	51.4989662
43	51.08083897
44	50.76797604
45	50.46577225
46	50.06347841
47	49.74984754
48	49.51857049
49	49.2849967
50	49.02441875
51	48.85502882
52	48.60987146
53	48.39423468
54	48.17568559
55	47.98975787
56	47.79254152
57	47.53621252
58	47.35192369
59	47.20093251
60	46.98943646
61	46.83481624
62	46.63506255
63	46.47183819
64	46.32561789
65	46.15954728
66	46.00978664
67	45.85819203
68	45.71790029
69	45.51773824
70	45.38537709
71	45.25396055
72	45.07986893
73	44.94295161
74	44.82105445
75	44.67260138
76	44.51850751
77	44.39288843
78	44.21878839
79	44.09553609
80	43.98790154
81	43.8466124
82	43.76056794
83	43.69864341
84	43.60909273
85	43.49983902
86	43.44010682
87	43.38354536
88	43.2481347
89	43.0990005
90	42.95068423
91	42.87624411
92	42.77676089
93	42.68427283
94	42.61752442
95	42.50926047
96	42.43099254
97	42.34630019
98	42.26012856
99	42.20131347
100	42.11461103
101	42.0666207
102	42.02537852
103	41.88583886
104	41.81629595
105	41.75739791
106	41.64385156
107	41.57313646
108	41.45826674
109	41.38477722
110	41.32558088
111	41.23694195
112	41.18636952
113	41.1345471
114	41.04460746
115	41.01111405
116	40.95912538
117	40.93203436
118	40.82613737
119	40.7587537
120	40.68963118
121	40.6143311
122	40.55892507
123	40.4945766
124	40.4220412
125	40.324726
126	40.27235509
127	40.23170018
128	40.12926796
129	40.05040655
130	39.97575759
131	39.95591632
132	39.92719192
133	39.84179205
134	39.79567134
135	39.67742051
136	39.63390092
137	39.58018806
138	39.47431052
139	39.41998623
140	39.28607636
141	39.24372848
142	39.1850531
143	39.14145873
144	39.10406612
145	39.00325872
146	38.92632766
147	38.84953725
148	38.81953681
149	38.77512771
150	38.673702
151	38.61036094
152	38.5147826
153	38.45193316
154	38.36510879
155	38.33296498
156	38.25073453
157	38.15713794
158	38.04562288
159	37.97573067
160	37.9238966
161	37.89225991
162	37.84128938
163	37.77084392
164	37.67304874
165	37.58817432
166	37.52539162
167	37.50575198
168	37.43659605
169	37.3872879
170	37.3316874
171	37.24091772
172	37.1909985
173	37.13235575
174	37.07863739
175	37.01725302
176	36.94545997
177	36.89305975
178	36.81920727
179	36.794108
180	36.74748515
181	36.66796171
182	36.60348914
183	36.53211622
184	36.51289647
185	36.45622903
186	36.42923315
187	36.34178322
188	36.27930571
189	36.23676599
190	36.14951317
191	36.07511796
192	35.99890212
193	35.95994832
194	35.92907477
195	35.8708953
196	35.82465231
197	35.79097081
198	35.76410292
199	35.71124515
200	35.61609644
201	35.54837185
202	35.49522267
203	35.44481439
204	35.38892592
205	35.34334402
206	35.28121376
207	35.23381383
208	35.16259019
209	35.12713845
210	35.04697788
211	34.99468558
212	34.93553829
213	34.87952514
214	34.84207302
215	34.81129342
216	34.78529282
217	34.69407512
218	34.6516971
219	34.61046995
220	34.54086584
221	34.49793664
222	34.44033959
223	34.35207096
224	34.30143633
225	34.26358212
226	34.15706162
227	34.09063744
228	34.02675336
229	34.01025021
230	33.97097518
231	33.91429752
232	33.85950686
233	33.81082273
234	33.73929651
235	33.6743459
236	33.59655225
237	33.5317066
238	33.46930798
239	33.41123353
240	33.34270496
241	33.30646784
242	33.29147067
243	33.26911596
244	33.2054172
245	33.16863797
246	33.11178242
247	33.05989492
248	33.01982305
249	32.96046098
250	32.92208288
251	32.91510001
252	32.85324887
253	32.79029048
254	32.74020499
255	32.67519062
256	32.62162437
257	32.60400281
258	32.53188671
259	32.51406357
260	32.46528281
261	32.41193822
262	32.37423717
263	32.32659858
264	32.30980721
265	32.28148161
266	32.19714374
267	32.14330542
268	32.11741936
269	32.0674309
270	32.02655645
271	31.98700908
272	31.92572423
273	31.87419615
274	31.86195511
275	31.8098032
276	31.79107165
277	31.76312812
278	31.7178355
279	31.6869232
280	31.64556001
281	31.63289826
282	31.60026919
283	31.55969324
284	31.50727742
285	31.47609018
286	31.44048651
287	31.35974071
288	31.33512728
289	31.2863945
290	31.23550743
